country,dystopia_residual,family,freedom,gdp_per_capita,generosity,government_corruption,life_expectancy,lower_confidence_interval,rank,region,score,social_support,standard_error,upper_confidence_interval,whiskerhigh,whiskerlow
Switzerland,2.51738,1.34951,0.66557,1.39651,0.29678,0.41978,0.94143,,1,Western Europe,7.587,,0.03411,,,
Iceland,2.70201,1.40223,0.62877,1.30232,0.4363,0.14145,0.94784,,2,Western Europe,7.561,,0.04884,,,
Denmark,2.49204,1.36058,0.64938,1.32548,0.34139,0.48357,0.87464,,3,Western Europe,7.527,,0.03328,,,
Norway,2.46531,1.33095,0.66973,1.459,0.34699,0.36503,0.88521,,4,Western Europe,7.522,,0.0388,,,
Canada,2.45176,1.32261,0.63297,1.32629,0.45811,0.32957,0.90563,,5,North America,7.427,,0.03553,,,
Finland,2.61955,1.31826,0.64169,1.29025,0.23351,0.41372,0.88911,,6,Western Europe,7.406,,0.0314,,,
Netherlands,2.4657,1.28017,0.61576,1.32944,0.4761,0.31814,0.89284,,7,Western Europe,7.378,,0.02799,,,
Sweden,2.37119,1.28907,0.6598,1.33171,0.36262,0.43844,0.91087,,8,Western Europe,7.364,,0.03157,,,
New Zealand,2.26425,1.31967,0.63938,1.25018,0.47501,0.42922,0.90837,,9,Australia and New Zealand,7.286,,0.03371,,,
Australia,2.26646,1.30923,0.65124,1.33358,0.43562,0.35637,0.93156,,10,Australia and New Zealand,7.284,,0.04083,,,
Israel,3.08854,1.22393,0.41319,1.22857,0.33172,0.07785,0.91387,,11,Middle East and Northern Africa,7.278,,0.0347,,,
Costa Rica,3.17728,1.23788,0.63376,0.95578,0.25497,0.10583,0.86027,,12,Latin America and Caribbean,7.226,,0.04454,,,
Austria,2.5332,1.29704,0.62433,1.33723,0.33088,0.18676,0.89042,,13,Western Europe,7.2,,0.03751,,,
Mexico,3.60214,0.91451,0.48181,1.02054,0.14074,0.21312,0.81444,,14,Latin America and Caribbean,7.187,,0.04176,,,
United States,2.51011,1.24711,0.54604,1.39451,0.40105,0.1589,0.86179,,15,North America,7.119,,0.03839,,,
Brazil,3.26001,1.23287,0.49049,0.98124,0.14574,0.17521,0.69702,,16,Latin America and Caribbean,6.983,,0.04076,,,
Luxembourg,1.96961,1.21963,0.61583,1.56391,0.28034,0.37798,0.91894,,17,Western Europe,6.946,,0.03499,,,
Ireland,1.9757,1.36948,0.61777,1.33596,0.45901,0.28703,0.89533,,18,Western Europe,6.94,,0.03676,,,
Belgium,2.41484,1.28566,0.5845,1.30782,0.2225,0.2254,0.89667,,19,Western Europe,6.937,,0.03595,,,
United Arab Emirates,2.24743,1.12575,0.64157,1.42727,0.26428,0.38583,0.80925,,20,Middle East and Northern Africa,6.901,,0.03729,,,
United Kingdom,1.96994,1.28548,0.59625,1.26637,0.51912,0.32067,0.90943,,21,Western Europe,6.867,,0.01866,,,
Oman,2.47489,1.08182,0.63274,1.36011,0.21542,0.32524,0.76276,,22,Middle East and Northern Africa,6.853,,0.05335,,,
Venezuela,3.19131,1.25596,0.42908,1.04424,0.05841,0.11069,0.72052,,23,Latin America and Caribbean,6.81,,0.06476,,,
Singapore,1.88501,1.02,0.54252,1.52186,0.31105,0.4921,1.02525,,24,Southeastern Asia,6.798,,0.0378,,,
Panama,2.84848,1.1985,0.5421,1.06353,0.24434,0.0927,0.79661,,25,Latin America and Caribbean,6.786,,0.0491,,,
Germany,2.11569,1.29937,0.61477,1.32792,0.28214,0.21843,0.89186,,26,Western Europe,6.75,,0.01848,,,
Chile,2.67585,1.12447,0.44132,1.10715,0.33363,0.12869,0.85857,,27,Latin America and Caribbean,6.67,,0.058,,,
Qatar,1.55674,1.0786,0.6404,1.69042,0.32573,0.52208,0.79733,,28,Middle East and Northern Africa,6.611,,0.06257,,,
France,2.21126,1.26038,0.55011,1.27778,0.12332,0.20646,0.94579,,29,Western Europe,6.575,,0.03512,,,
Argentina,2.836,1.24823,0.44974,1.05351,0.11451,0.08484,0.78723,,30,Latin America and Caribbean,6.574,,0.04612,,,
Czech Republic,2.67782,1.20643,0.46364,1.17898,0.10686,0.02652,0.84483,,31,Central and Eastern Europe,6.505,,0.04168,,,
Uruguay,2.32142,1.2089,0.60362,1.06166,0.2324,0.24558,0.8116,,32,Latin America and Caribbean,6.485,,0.04539,,,
Colombia,2.85737,1.24018,0.53466,0.91861,0.18401,0.0512,0.69077,,33,Latin America and Caribbean,6.477,,0.05051,,,
Thailand,2.31945,1.26504,0.55664,0.9669,0.5763,0.03187,0.7385,,34,Southeastern Asia,6.455,,0.03557,,,
Saudi Arabia,2.43872,1.08393,0.31048,1.39541,0.13706,0.32524,0.72025,,35,Middle East and Northern Africa,6.411,,0.04633,,,
Spain,2.12367,1.31379,0.45951,1.23011,0.18227,0.06398,0.95562,,36,Western Europe,6.329,,0.03468,,,
Malta,1.6488,1.30203,0.60365,1.2074,0.51752,0.13586,0.88721,,37,Western Europe,6.302,,0.04206,,,
Taiwan,2.32323,1.07617,0.3974,1.29098,0.25376,0.08129,0.8753,,38,Eastern Asia,6.298,,0.03868,,,
Kuwait,1.87634,1.16594,0.55499,1.55422,0.16228,0.25609,0.72492,,39,Middle East and Northern Africa,6.295,,0.04456,,,
Suriname,2.79094,0.972,0.59657,0.99534,0.16991,0.13633,0.6082,,40,Latin America and Caribbean,6.269,,0.09811,,,
Trinidad and Tobago,2.26882,1.18354,0.55884,1.21183,0.31844,0.0114,0.61483,,41,Latin America and Caribbean,6.168,,0.10895,,,
El Salvador,3.035,1.02507,0.4035,0.76454,0.10692,0.11776,0.67737,,42,Latin America and Caribbean,6.13,,0.05618,,,
Guatemala,2.74255,1.04356,0.57733,0.74553,0.27489,0.09472,0.64425,,43,Latin America and Caribbean,6.123,,0.05224,,,
Uzbekistan,2.23741,1.34043,0.65821,0.63244,0.22837,0.30826,0.59772,,44,Central and Eastern Europe,6.003,,0.04361,,,
Slovakia,2.24639,1.26999,0.31751,1.16891,0.16893,0.03431,0.78902,,45,Central and Eastern Europe,5.995,,0.04267,,,
Japan,1.68435,1.25712,0.49615,1.27074,0.10705,0.1806,0.99111,,46,Eastern Asia,5.987,,0.03581,,,
South Korea,2.21978,0.95774,0.33208,1.24461,0.18557,0.07857,0.96538,,47,Eastern Asia,5.984,,0.04098,,,
Ecuador,2.53942,0.99903,0.48574,0.86402,0.11541,0.1809,0.79075,,48,Latin America and Caribbean,5.975,,0.04528,,,
Bahrain,1.73797,1.21624,0.45492,1.32376,0.17362,0.306,0.74716,,49,Middle East and Northern Africa,5.96,,0.05412,,,
Italy,2.02518,1.19777,0.26236,1.25114,0.22823,0.02901,0.95446,,50,Western Europe,5.948,,0.03914,,,
Bolivia,2.82334,0.97841,0.57414,0.68133,0.20536,0.088,0.5392,,51,Latin America and Caribbean,5.89,,0.05642,,,
Moldova,3.10712,1.01528,0.32818,0.59448,0.20951,0.01615,0.61826,,52,Central and Eastern Europe,5.889,,0.03799,,,
Paraguay,2.18896,1.30477,0.53899,0.75985,0.3424,0.08242,0.66098,,53,Latin America and Caribbean,5.878,,0.04563,,,
Kazakhstan,2.24729,1.12241,0.51649,1.12254,0.11827,0.08454,0.64368,,54,Central and Eastern Europe,5.855,,0.04114,,,
Slovenia,1.61583,1.27385,0.60855,1.18498,0.25328,0.03787,0.87337,,55,Central and Eastern Europe,5.848,,0.04251,,,
Lithuania,2.44649,1.25745,0.21342,1.14723,0.02641,0.01031,0.73128,,56,Central and Eastern Europe,5.833,,0.03843,,,
Nicaragua,2.32407,1.14184,0.55475,0.59325,0.27815,0.19317,0.74314,,57,Latin America and Caribbean,5.828,,0.05371,,,
Peru,2.5945,0.97459,0.41496,0.90019,0.14982,0.05989,0.73017,,58,Latin America and Caribbean,5.824,,0.04615,,,
Belarus,2.1309,1.23289,0.37938,1.03192,0.11046,0.1909,0.73608,,59,Central and Eastern Europe,5.813,,0.03938,,,
Poland,1.86565,1.27948,0.53122,1.12555,0.16759,0.04212,0.77903,,60,Central and Eastern Europe,5.791,,0.04263,,,
Malaysia,1.88541,1.07023,0.53024,1.12486,0.33075,0.10501,0.72394,,61,Southeastern Asia,5.77,,0.0433,,,
Croatia,2.75414,0.79624,0.25883,1.08254,0.05444,0.0243,0.78805,,62,Central and Eastern Europe,5.759,,0.04394,,,
Libya,2.09066,1.11862,0.41668,1.13145,0.18295,0.11023,0.7038,,63,Middle East and Northern Africa,5.754,,0.07832,,,
Russia,2.27394,1.23617,0.36679,1.13764,0.00199,0.03005,0.66926,,64,Central and Eastern Europe,5.716,,0.03135,,,
Jamaica,2.32038,1.15102,0.50442,0.81038,0.2123,0.02299,0.68741,,65,Latin America and Caribbean,5.709,,0.13693,,,
North Cyprus,1.59888,1.07008,0.49027,1.20806,0.26169,0.1428,0.92356,,66,Western Europe,5.695,,0.05635,,,
Cyprus,1.88931,0.89318,0.40672,1.20813,0.30638,0.06146,0.92356,,67,Western Europe,5.689,,0.0558,,,
Algeria,2.43209,1.07772,0.28579,0.93929,0.07822,0.17383,0.61766,,68,Middle East and Northern Africa,5.605,,0.05099,,,
Kosovo,2.76579,0.81198,0.24749,0.80148,0.2831,0.04741,0.63132,,69,Central and Eastern Europe,5.589,,0.05018,,,
Turkmenistan,1.86984,1.22668,0.4761,0.95847,0.16979,0.30844,0.53886,,70,Central and Eastern Europe,5.548,,0.04175,,,
Mauritius,1.76145,0.98521,0.56066,1.00761,0.37744,0.07521,0.7095,,71,Sub-Saharan Africa,5.477,,0.07197,,,
Hong Kong,0.65429,1.05818,0.59608,1.38604,0.39478,0.37124,1.01328,,72,Eastern Asia,5.474,,0.05051,,,
Estonia,1.58782,1.22791,0.44888,1.15174,0.0868,0.15184,0.77361,,73,Central and Eastern Europe,5.429,,0.04013,,,
Indonesia,1.86399,1.08708,0.46611,0.82827,0.51535,0.0,0.63793,,74,Southeastern Asia,5.399,,0.02596,,,
Vietnam,2.20173,0.91226,0.59444,0.63216,0.1686,0.10441,0.74676,,75,Southeastern Asia,5.36,,0.03107,,,
Turkey,2.08528,0.94632,0.22815,1.06098,0.12253,0.15746,0.73172,,76,Middle East and Northern Africa,5.332,,0.03864,,,
Kyrgyzstan,2.2327,1.15115,0.43477,0.47428,0.3003,0.04232,0.65088,,77,Central and Eastern Europe,5.286,,0.03823,,,
Nigeria,2.89319,0.90432,0.34334,0.65435,0.27233,0.0403,0.16007,,78,Sub-Saharan Africa,5.268,,0.04192,,,
Bhutan,1.63794,1.10395,0.53206,0.77042,0.47998,0.15445,0.57407,,79,Southern Asia,5.253,,0.03225,,,
Azerbaijan,2.00073,0.93793,0.3703,1.02389,0.07799,0.16065,0.64045,,80,Central and Eastern Europe,5.212,,0.03363,,,
Pakistan,3.10709,0.41411,0.12102,0.59543,0.33671,0.10464,0.51466,,81,Southern Asia,5.194,,0.03726,,,
Jordan,1.87996,1.05392,0.40661,0.90198,0.11053,0.14293,0.69639,,82,Middle East and Northern Africa,5.192,,0.04524,,,
Montenegro,2.10017,0.90557,0.1826,0.97438,0.1614,0.14296,0.72521,,82,Central and Eastern Europe,5.192,,0.05235,,,
China,1.8604,0.94675,0.51697,0.89012,0.08185,0.02781,0.81658,,84,Eastern Asia,5.14,,0.02424,,,
Zambia,2.6343,0.91612,0.48827,0.47038,0.19591,0.12468,0.29924,,85,Sub-Saharan Africa,5.129,,0.06988,,,
Romania,1.93129,0.88588,0.35068,1.04345,0.13748,0.00649,0.7689,,86,Central and Eastern Europe,5.124,,0.06607,,,
Serbia,2.025,1.00964,0.20107,0.92053,0.19231,0.02617,0.74836,,87,Central and Eastern Europe,5.123,,0.04864,,,
Portugal,1.26462,1.13935,0.51469,1.15991,0.13719,0.01078,0.87519,,88,Western Europe,5.102,,0.04802,,,
Latvia,1.62215,1.09562,0.29671,1.11312,0.18226,0.06332,0.72437,,89,Central and Eastern Europe,5.098,,0.0464,,,
Philippines,1.7536,1.03516,0.62545,0.70532,0.24991,0.12279,0.58114,,90,Southeastern Asia,5.073,,0.04934,,,
Somaliland region,2.11032,0.95152,0.46582,0.18847,0.50318,0.39928,0.43873,,91,Sub-Saharan Africa,5.057,,0.06161,,,
Morocco,2.45373,0.64095,0.41691,0.73479,0.07172,0.08546,0.60954,,92,Middle East and Northern Africa,5.013,,0.0342,,,
Macedonia,1.73933,1.00232,0.33457,0.91851,0.22359,0.05327,0.73545,,93,Central and Eastern Europe,5.007,,0.05376,,,
Mozambique,3.05137,1.02626,0.34037,0.08308,0.22269,0.15603,0.09131,,94,Sub-Saharan Africa,4.971,,0.07896,,,
Albania,1.89894,0.80434,0.35733,0.87867,0.14272,0.06413,0.81325,,95,Central and Eastern Europe,4.959,,0.05013,,,
Bosnia and Herzegovina,2.06367,0.91916,0.09245,0.83223,0.24808,0.00227,0.79081,,96,Central and Eastern Europe,4.949,,0.06913,,,
Lesotho,2.79832,1.04103,0.31767,0.37545,0.16388,0.12504,0.07612,,97,Sub-Saharan Africa,4.898,,0.09438,,,
Dominican Republic,1.21305,1.17202,0.57672,0.89537,0.21684,0.14234,0.66825,,98,Latin America and Caribbean,4.885,,0.07446,,,
Laos,1.73799,0.73803,0.59591,0.59066,0.42192,0.24249,0.54909,,99,Southeastern Asia,4.876,,0.06698,,,
Mongolia,1.34759,1.3006,0.43626,0.82819,0.3323,0.02666,0.60268,,100,Eastern Asia,4.874,,0.03313,,,
Swaziland,2.48676,1.07284,0.30658,0.71206,0.18259,0.0306,0.07566,,101,Sub-Saharan Africa,4.867,,0.08742,,,
Greece,1.80101,0.92933,0.07699,1.15406,0.0,0.01397,0.88213,,102,Western Europe,4.857,,0.05062,,,
Lebanon,1.57059,0.80001,0.33916,1.02564,0.21854,0.04582,0.83947,,103,Middle East and Northern Africa,4.839,,0.04337,,,
Hungary,1.24074,1.20215,0.32112,1.12094,0.128,0.02758,0.75905,,104,Central and Eastern Europe,4.8,,0.06107,,,
Honduras,1.84408,0.95348,0.40148,0.59532,0.23027,0.06825,0.6951,,105,Latin America and Caribbean,4.788,,0.05648,,,
Tajikistan,2.11399,0.85563,0.47216,0.39047,0.22974,0.15072,0.57379,,106,Central and Eastern Europe,4.786,,0.03198,,,
Tunisia,2.12466,0.60429,0.26268,0.88113,0.06431,0.06358,0.73793,,107,Middle East and Northern Africa,4.739,,0.03589,,,
Palestinian Territories,2.04384,0.92558,0.24499,0.59867,0.11251,0.12905,0.66015,,108,Middle East and Northern Africa,4.715,,0.04394,,,
Bangladesh,2.51767,0.43106,0.4082,0.39753,0.21222,0.12569,0.60164,,109,Southern Asia,4.694,,0.03077,,,
Iran,1.6944,0.54447,0.30033,1.0088,0.38086,0.05863,0.69805,,110,Middle East and Northern Africa,4.686,,0.04449,,,
Ukraine,1.5714,1.20278,0.25123,0.79907,0.15275,0.02961,0.6739,,111,Central and Eastern Europe,4.681,,0.04412,,,
Iraq,1.95335,0.81889,0.0,0.98549,0.17922,0.13788,0.60237,,112,Middle East and Northern Africa,4.677,,0.05232,,,
South Africa,1.71956,1.18468,0.33207,0.92049,0.11973,0.08884,0.27688,,113,Sub-Saharan Africa,4.642,,0.04585,,,
Ghana,2.30919,0.67954,0.42342,0.54558,0.23087,0.04355,0.40132,,114,Sub-Saharan Africa,4.633,,0.04742,,,
Zimbabwe,2.44191,1.03276,0.25861,0.271,0.18987,0.08079,0.33475,,115,Sub-Saharan Africa,4.61,,0.0429,,,
Liberia,2.77729,0.78968,0.28531,0.0712,0.24362,0.06232,0.34201,,116,Sub-Saharan Africa,4.571,,0.11068,,,
India,2.27513,0.38174,0.39786,0.64499,0.26475,0.08492,0.51529,,117,Southern Asia,4.565,,0.02043,,,
Sudan,2.20857,1.01404,0.10081,0.52107,0.19062,0.1466,0.36878,,118,Sub-Saharan Africa,4.55,,0.0674,,,
Haiti,2.24173,0.74302,0.24425,0.26673,0.46187,0.17175,0.38847,,119,Latin America and Caribbean,4.518,,0.07331,,,
Congo (Kinshasa),2.86712,1.0012,0.22605,0.0,0.24834,0.07625,0.09806,,120,Sub-Saharan Africa,4.517,,0.0368,,,
Nepal,1.95637,0.86449,0.38282,0.35997,0.32296,0.05907,0.56874,,121,Southern Asia,4.514,,0.03607,,,
Ethiopia,2.44876,0.60406,0.4345,0.19073,0.24325,0.15048,0.44055,,122,Sub-Saharan Africa,4.512,,0.0378,,,
Sierra Leone,2.51009,0.95571,0.4084,0.33024,0.21488,0.08786,0.0,,123,Sub-Saharan Africa,4.507,,0.07068,,,
Mauritania,2.11773,0.86908,0.24232,0.45407,0.219,0.17461,0.35874,,124,Sub-Saharan Africa,4.436,,0.03947,,,
Kenya,1.78555,0.99876,0.42215,0.36471,0.37542,0.05839,0.41435,,125,Sub-Saharan Africa,4.419,,0.04734,,,
Djibouti,2.05125,0.59207,0.46074,0.44025,0.18093,0.28105,0.36291,,126,Sub-Saharan Africa,4.369,,0.08096,,,
Armenia,1.75873,0.77711,0.19847,0.76821,0.07855,0.039,0.7299,,127,Central and Eastern Europe,4.35,,0.04763,,,
Botswana,1.46181,1.10464,0.49495,0.99355,0.10461,0.12474,0.04776,,128,Sub-Saharan Africa,4.332,,0.04934,,,
Myanmar,1.41805,0.70905,0.44017,0.27108,0.79588,0.19034,0.48246,,129,Southeastern Asia,4.307,,0.04351,,,
Georgia,1.59541,0.38562,0.40577,0.7419,0.05547,0.38331,0.72926,,130,Central and Eastern Europe,4.297,,0.04221,,,
Malawi,2.80791,0.41134,0.43054,0.01604,0.33128,0.06977,0.22562,,131,Sub-Saharan Africa,4.292,,0.0613,,,
Sri Lanka,0.67108,1.01905,0.53726,0.83524,0.40828,0.09179,0.70806,,132,Southern Asia,4.271,,0.03751,,,
Cameroon,1.95071,0.88767,0.49309,0.4225,0.20618,0.05786,0.23402,,133,Sub-Saharan Africa,4.252,,0.04678,,,
Bulgaria,0.89991,1.10614,0.30587,1.01216,0.11921,0.00872,0.76649,,134,Central and Eastern Europe,4.218,,0.04828,,,
Egypt,1.59927,0.747,0.17288,0.8818,0.11291,0.06324,0.61712,,135,Middle East and Northern Africa,4.194,,0.0326,,,
Yemen,1.92313,0.68093,0.35571,0.54649,0.09131,0.07854,0.40064,,136,Middle East and Northern Africa,4.077,,0.04367,,,
Angola,1.94939,0.8604,0.10384,0.75778,0.12344,0.07122,0.16683,,137,Sub-Saharan Africa,4.033,,0.04758,,,
Mali,1.79293,1.03526,0.38857,0.26074,0.18798,0.12352,0.20583,,138,Sub-Saharan Africa,3.995,,0.05602,,,
Congo (Brazzaville),1.68135,0.6629,0.41466,0.67866,0.12388,0.11686,0.31051,,139,Sub-Saharan Africa,3.989,,0.06682,,,
Comoros,1.95812,0.79273,0.22917,0.23906,0.17441,0.199,0.36315,,140,Sub-Saharan Africa,3.956,,0.04797,,,
Uganda,1.42766,1.13299,0.45727,0.21102,0.29066,0.07267,0.33861,,141,Sub-Saharan Africa,3.931,,0.04317,,,
Senegal,1.44395,0.97619,0.36772,0.36498,0.20843,0.10713,0.4354,,142,Sub-Saharan Africa,3.904,,0.03608,,,
Gabon,0.99895,0.90528,0.31914,1.06024,0.06822,0.11091,0.43372,,143,Sub-Saharan Africa,3.896,,0.04547,,,
Niger,1.87877,0.77265,0.47692,0.0694,0.19387,0.15639,0.29707,,144,Sub-Saharan Africa,3.845,,0.03602,,,
Cambodia,0.98195,0.62736,0.66246,0.46038,0.40359,0.07247,0.61114,,145,Southeastern Asia,3.819,,0.05069,,,
Tanzania,1.38079,1.00268,0.32878,0.2852,0.34377,0.05747,0.38215,,146,Sub-Saharan Africa,3.781,,0.05061,,,
Madagascar,1.851,0.66801,0.19184,0.20824,0.21333,0.08124,0.46721,,147,Sub-Saharan Africa,3.681,,0.03633,,,
Central African Republic,2.7223,0.0,0.48879,0.0785,0.23835,0.08289,0.06699,,148,Sub-Saharan Africa,3.678,,0.06112,,,
Chad,1.94296,0.76062,0.23501,0.34193,0.18386,0.05269,0.1501,,149,Sub-Saharan Africa,3.667,,0.0383,,,
Guinea,1.99172,0.46475,0.37725,0.17417,0.28657,0.12139,0.24009,,150,Sub-Saharan Africa,3.656,,0.0359,,,
Ivory Coast,1.41723,0.77115,0.46866,0.46534,0.20165,0.17922,0.15185,,151,Sub-Saharan Africa,3.655,,0.05141,,,
Burkina Faso,1.46494,0.85188,0.39493,0.25812,0.21747,0.12832,0.27125,,152,Sub-Saharan Africa,3.587,,0.04324,,,
Afghanistan,1.9521,0.30285,0.23414,0.31982,0.3651,0.09719,0.30335,,153,Southern Asia,3.575,,0.03084,,,
Rwanda,0.67042,0.7737,0.59201,0.22208,0.22628,0.55191,0.42864,,154,Sub-Saharan Africa,3.465,,0.03464,,,
Benin,1.63328,0.35386,0.4845,0.28665,0.1826,0.0801,0.3191,,155,Sub-Saharan Africa,3.34,,0.03656,,,
Syria,0.32858,0.47489,0.15684,0.6632,0.47179,0.18906,0.72193,,156,Middle East and Northern Africa,3.006,,0.05015,,,
Burundi,1.83302,0.41587,0.1185,0.0153,0.19727,0.10062,0.22396,,157,Sub-Saharan Africa,2.905,,0.08658,,,
Togo,1.56726,0.13995,0.36453,0.20868,0.16681,0.10731,0.28443,,158,Sub-Saharan Africa,2.839,,0.06727,,,
Denmark,2.73939,1.16374,0.57941,1.44178,0.36171,0.44453,0.79504,7.46,1,Western Europe,7.526,,,7.592,,
Switzerland,2.69463,1.14524,0.58557,1.52733,0.28083,0.41203,0.86303,7.428,2,Western Europe,7.509,,,7.59,,
Iceland,2.83137,1.18326,0.56624,1.42666,0.47678,0.14975,0.86733,7.333,3,Western Europe,7.501,,,7.669,,
Norway,2.66465,1.1269,0.59609,1.57744,0.37895,0.35776,0.79579,7.421,4,Western Europe,7.498,,,7.575,,
Finland,2.82596,1.13464,0.57104,1.40598,0.25492,0.41004,0.81091,7.351,5,Western Europe,7.413,,,7.475,,
Canada,2.70485,1.0961,0.5737,1.44015,0.44834,0.31329,0.8276,7.335,6,North America,7.404,,,7.473,,
Netherlands,2.70749,1.02912,0.55211,1.46468,0.47416,0.29927,0.81231,7.284,7,Western Europe,7.339,,,7.394,,
New Zealand,2.47553,1.17278,0.58147,1.36066,0.49401,0.41904,0.83096,7.264,8,Australia and New Zealand,7.334,,,7.404,,
Australia,2.5465,1.10476,0.56837,1.44443,0.47407,0.32331,0.8512,7.241,9,Australia and New Zealand,7.313,,,7.385,,
Sweden,2.54734,1.08764,0.58218,1.45181,0.38254,0.40867,0.83121,7.227,10,Western Europe,7.291,,,7.355,,
Israel,3.31029,0.99537,0.36432,1.33766,0.32288,0.08728,0.84917,7.199,11,Middle East and Northern Africa,7.267,,,7.335,,
Austria,2.69343,1.08383,0.54355,1.45038,0.32865,0.21348,0.80565,7.045,12,Western Europe,7.119,,,7.193,,
United States,2.72782,1.04782,0.48163,1.50796,0.41077,0.14868,0.779,7.02,13,North America,7.104,,,7.188,,
Costa Rica,3.35168,1.02152,0.55225,1.06879,0.22553,0.10547,0.76146,6.999,14,Latin America and Caribbean,7.087,,,7.175,,
Puerto Rico,3.0076,1.08113,0.46823,1.35943,0.22202,0.12275,0.77758,6.794,15,Latin America and Caribbean,7.039,,,7.284,,
Germany,2.50931,1.09774,0.53466,1.44787,0.30452,0.28551,0.81487,6.93,16,Western Europe,6.994,,,7.058,,
Brazil,3.50733,1.03938,0.40425,1.08754,0.15776,0.14166,0.61415,6.875,17,Latin America and Caribbean,6.952,,,7.029,,
Belgium,2.61355,1.05249,0.51354,1.42539,0.2424,0.26248,0.81959,6.861,18,Western Europe,6.929,,,6.997,,
Ireland,2.15988,1.16157,0.54008,1.48341,0.44963,0.29754,0.81455,6.836,19,Western Europe,6.907,,,6.978,,
Luxembourg,2.11055,1.03999,0.5487,1.69752,0.27571,0.35329,0.84542,6.804,20,Western Europe,6.871,,,6.938,,
Mexico,3.55906,0.7146,0.37709,1.11508,0.11735,0.18355,0.71143,6.68,21,Latin America and Caribbean,6.778,,,6.876,,
Singapore,1.99375,0.86758,0.4877,1.64555,0.32706,0.46987,0.94719,6.674,22,Southeastern Asia,6.739,,,6.804,,
United Kingdom,2.14999,1.08672,0.50036,1.40283,0.50156,0.27399,0.80991,6.647,23,Western Europe,6.725,,,6.803,,
Chile,2.95505,0.90587,0.37789,1.2167,0.31595,0.11451,0.81883,6.615,24,Latin America and Caribbean,6.705,,,6.795,,
Panama,3.00559,0.98912,0.48927,1.18306,0.2418,0.08423,0.70835,6.601,25,Latin America and Caribbean,6.701,,,6.801,,
Argentina,3.12985,1.06612,0.42284,1.15137,0.10989,0.07296,0.69711,6.56,26,Latin America and Caribbean,6.65,,,6.74,,
Czech Republic,2.96211,1.00793,0.41418,1.30915,0.09929,0.03986,0.76376,6.515,27,Central and Eastern Europe,6.596,,,6.677,,
United Arab Emirates,2.21507,0.87114,0.56215,1.57352,0.26591,0.35561,0.72993,6.494,28,Middle East and Northern Africa,6.573,,,6.652,,
Uruguay,2.67139,1.03143,0.54388,1.18157,0.18056,0.21394,0.72183,6.456,29,Latin America and Caribbean,6.545,,,6.634,,
Malta,1.99032,1.09879,0.54994,1.30782,0.56237,0.17554,0.80315,6.409,30,Western Europe,6.488,,,6.567,,
Colombia,3.17471,1.02169,0.44735,1.03032,0.15626,0.05399,0.59659,6.384,31,Latin America and Caribbean,6.481,,,6.578,,
France,2.4744,1.00508,0.46562,1.39488,0.1216,0.17808,0.83795,6.397,32,Western Europe,6.478,,,6.559,,
